Cycles,DischargeAh_145,DischargeAh_146,DischargeAh_147,DischargeAh_148,DischargeAh_149,DischargeAh_150,DischargeAh_151,DischargeAh_152,DischargeAh_153,DischargeAh_154,DischargeAh_155,DischargeAh_156,DischargeAh_157,DischargeAh_158,DischargeAh_159,DischargeAh_160,DischargeAh_161,DischargeAh_162,DischargeAh_163,DischargeAh_164,DischargeAh_165,DischargeAh_166,DischargeAh_167,DischargeAh_168,DischargeAh_169,DischargeAh_170,DischargeAh_171,DischargeAh_172,DischargeAh_173,DischargeAh_174,DischargeAh_175,DischargeAh_176,DischargeAh_177,DischargeAh_178,DischargeAh_179,DischargeAh_185,DischargeAh_186,DischargeAh_187
103,0.94366645126644,NaN,0.94311007101008,0.942893752182509,0.942763139880499,0.943890155190033,0.943042088103385,0.943414793756039,0.954622172187448,0.951915352516437,0.951738457553469,0.953762477536145,0.952342186402852,0.954058466216684,0.9523409584223,0.953144871845754,0.944440962540858,0.94437951610216,0.945391580512197,0.945210828094016,0.943537631623012,0.941980953307495,0.943784716368636,0.944264806778694,0.951557329805075,0.94921419387819,0.95177680783212,0.949878535271106,0.949443540255283,0.952177168318403,0.950770309248412,0.95160867783078,0.935357425812972,0.933703427059866,0.934488766825099,NaN,0.839268397160018,0.817730322547778
104,0.94335730542597,NaN,0.942764761297737,0.942445656497034,0.942327187231664,0.943577038433233,0.942606964134538,0.943038822574322,0.954468683235996,0.951613952767494,0.951169433447593,0.953491461516021,0.952025056235978,0.953709550642161,0.952013440328473,0.952956501186794,0.944101965779852,0.943973799665554,0.945039898273225,0.944878483697908,0.943175814390545,0.941587803171247,0.943376972879048,0.943869885241174,0.951274907503,0.948805119309952,0.951263691024193,0.94910866957287,0.948927049200522,0.95184813872387,0.950399868128912,0.951246309486328,0.935193637919564,0.933707553791149,0.934328054215842,NaN,0.80058558291562,NaN
105,0.942979767202141,NaN,0.94244930456409,0.94217415780892,0.942005991349247,0.943271626321038,0.942286459685734,0.942667790258704,0.953900478944563,0.951119408724088,0.950830686284563,0.953110973959384,0.951616094149273,0.953425522156729,0.951658506228592,0.952471061705607,0.943761116577528,0.943651386223536,0.944694051809397,0.944545524418551,0.942875280145272,0.941186956282136,0.943070934114754,0.943527764003041,0.950795528914869,0.948402278824394,0.950792098119798,0.948296330574153,0.948226224269321,0.951380304413306,0.950100242259566,0.950786220498167,0.93482924159857,0.93331265735147,0.933952845965716,NaN,NaN,NaN
106,0.942651606438944,NaN,0.942015666966325,0.94170241348206,0.941645107469866,0.942901187008367,0.941832283678703,0.942384422816327,0.953734887979631,0.950604160085563,0.95023765647422,0.95282516448838,0.951152505357846,0.952980455713824,0.951142024050028,0.952105575238381,0.943542837242345,0.943351803972627,0.944392434378244,0.944238390235654,0.942515938993096,0.94079596123669,0.942729452794676,0.943268394111315,0.950479393374639,0.947880990767917,0.950297073869838,0.947397559894037,0.947578829447233,0.95103076619906,0.9497711596265,0.950276825653303,0.934450244031264,0.932994581601826,0.933487893248638,NaN,NaN,NaN
107,0.94224339898491,NaN,0.941689438539334,0.941367647000109,0.941209462479921,0.94256156627412,0.941562482234743,0.942031602569445,0.953252283295738,0.949983613791863,0.949635439295501,0.952426333052652,0.950629860669422,0.952551316101878,0.950804482900224,0.951724983576803,0.943166482914779,0.943068882320636,0.943979322927225,0.943867923078106,0.942151645680339,0.940353859752232,0.942353145311088,0.942843521526775,0.949967484468991,0.94726886322096,0.94955646539042,0.946468493573017,0.946799343522059,0.950432449510899,0.949225763183092,0.949648918538408,0.933722721062869,0.932499691288756,0.932918875139032,NaN,NaN,NaN
108,0.941581250304775,NaN,0.941098534218746,0.940840005884519,0.940726130361841,0.942112847772248,0.941113222882727,0.941471967304707,0.952965967367068,0.949775384720955,0.949283948363433,0.952146736831018,0.950379463666155,0.952351640832265,0.950454560328332,0.951501663644641,0.942746287476046,0.942567521705058,0.943554539925916,0.943435967595653,0.941732878601188,0.939793536143797,0.941807021755873,0.942469596599537,0.94953128248411,0.946622002927644,0.949058771746662,0.94547586580932,0.94610979828056,0.949999985138681,0.948874364819936,0.949154077831968,0.93349798883703,0.932237167690995,0.93251948043682,NaN,NaN,NaN
109,0.941295719771563,NaN,0.940796619042446,0.940599526842897,0.940513230409128,0.941785246283588,0.940738020646878,0.941234901731999,0.952585787041164,0.949125556214159,0.948580670132577,0.951876312548929,0.949938316115587,0.951747895962401,0.950015609435705,0.950982459611376,0.94242550638799,0.942231224430609,0.942996455534465,0.942984335849231,0.941160904054055,0.939332654582354,0.941446432275286,0.942078997893546,0.94928553072178,0.946207584859966,0.948674972238305,0.944724118092408,0.945550266304569,0.949768148568008,0.94856759791696,0.948715374516595,0.93275142076475,0.931735293678832,0.932128678289954,NaN,NaN,NaN
110,0.940927689009099,NaN,0.940498704780816,0.940177843925724,0.940113581509454,0.94148322421502,0.940422740144027,0.94092930939218,0.952403371325784,0.948956074314116,0.948374102527475,0.951669204236608,0.949707702837813,0.951785943391914,0.949969621296518,0.950893605526961,0.942271445018461,0.942123239067253,0.942957447984815,0.94292038799133,0.941235186462774,0.939127920956195,0.941253501493364,0.941979881542065,0.948979745737124,0.945732013409809,0.94809007839713,0.943783468143985,0.944928696035219,0.949359759531975,0.948247739118999,0.948219642740455,0.932693968034698,0.931570859309255,0.931863263802588,NaN,NaN,NaN
111,0.940652586014156,NaN,0.940296196945948,0.939972070033148,0.939880068411031,0.941268418723396,0.94023559996251,0.940749658137862,0.952047985368961,0.948571856184699,0.94789369207142,0.951428958594314,0.949247952679691,0.951499260434655,0.949605253732188,0.950592982541357,0.941997592443768,0.941852350070036,0.942685009429384,0.942653221219621,0.941047004360687,0.938761247649796,0.940912328369424,0.941694574661167,0.94861865921269,0.945211022214411,0.947669203974905,0.942920339394343,0.944310687773143,0.948999521168314,0.947971619152014,0.947803513190802,0.932011835897228,0.93104485979113,0.931236325505091,NaN,NaN,NaN
112,0.940385457019067,NaN,0.939962889977616,0.939688900586947,0.939581946945455,0.94102526013962,0.939960881863535,0.940406098264915,0.951638583108069,0.948047438368336,0.947319926097994,0.951050542120801,0.948724717432297,0.951045935634957,0.949235285048342,0.950167075296728,0.941719726246222,0.941512658969881,0.942283876674714,0.942237252701643,0.940656093184806,0.938199692560904,0.940457122674699,0.941302432086773,0.948434715053641,0.944779089343014,0.947217779823654,0.941963056545032,0.943701881363192,0.948633932729944,0.947801424517192,0.947405799081604,0.931227812453974,0.930262685492603,0.930440400285782,NaN,NaN,NaN
113,0.940382083403745,NaN,0.939920726492241,0.939591234769277,0.939526876003929,0.940994749746979,0.939830283214693,0.940390664308358,0.951290871598818,0.947480724021944,0.94667918124544,0.950784851742994,0.948441544406196,0.950606178135705,0.94880105088794,0.949659718474719,0.941399253898386,0.941217087603897,0.941970894839332,0.941887999016187,0.940298918602884,0.937801924372938,0.940120264296679,0.940923566780645,0.948042281132327,0.944049107947298,0.946562888545097,0.940664502211433,0.942851452126474,0.948143509215058,0.947383078963765,0.946736605737301,0.93065709417423,0.929660182725312,0.9298265099427,NaN,NaN,NaN
114,0.940025706948758,NaN,0.939638815889294,0.939278274177434,0.939245060459587,0.94070998608233,0.939558330734164,0.940025496896231,0.950601647172586,0.946849529650755,0.945919889704161,0.950236310584359,0.947828544195366,0.950107137432329,0.948274250857635,0.949188199466757,0.941319907661975,0.941109410770152,0.941744835338997,0.941743194011037,0.940217207953294,0.937553781060631,0.939895589312621,0.940821671466039,0.947671435512638,0.943290924748982,0.945941512988677,0.939427430207902,0.942007553236425,0.947786837567868,0.947001926293822,0.946190082988291,0.930218739366484,0.929463051946341,0.929455757091643,NaN,NaN,NaN
115,0.939694172570238,NaN,0.939297814854288,0.938906652669947,0.938918942034911,0.940422140559838,0.939274701197974,0.939909433542926,0.950552943947606,0.946287843563178,0.945247729979094,0.949978608670027,0.947300289196728,0.949863810848236,0.947949680721448,0.948791614069985,0.941176960940349,0.941001116877187,0.94163241988095,0.941570104376432,0.940052548613968,0.937362593719511,0.93977107807317,0.940680253120312,0.947215715337246,0.942514039302626,0.945302934672222,0.938047196450301,0.941069261153609,0.947361803854967,0.946638328664883,0.94561801624123,0.930332057734598,0.929655103671426,0.929670252732512,NaN,NaN,NaN
116,0.939501263112246,NaN,0.939054066822046,0.938719306290139,0.938646048598414,0.940273286826044,0.939012889318413,0.939600754411797,0.949985625169354,0.945577380170677,0.944498218539635,0.949614098040341,0.94684142487706,0.949400458043861,0.947478302294779,0.948356229056352,0.940924720181021,0.94070739668886,0.941021506367138,0.941065285228967,0.93972199189517,0.93698145051773,0.939160233329132,0.940471213338529,0.946716522828446,0.94167807850135,0.944433008893234,0.936609935603942,0.940034498040451,0.946711769777963,0.946124471786669,0.944854963555249,0.929299495685649,0.928891658384105,0.92883582013554,NaN,NaN,NaN
117,0.939160221272362,NaN,0.938681366232342,0.938335706899353,0.938341773955014,0.939921955031996,0.93866626513984,0.939252564351882,0.949680713463874,0.944824324468217,0.943552808697059,0.949197514463557,0.946231082181596,0.94897751219951,0.947008103051166,0.947823696910425,0.940783317160492,0.940427560332965,0.941119485960354,0.941078197777197,0.939491716428143,0.93663509663889,0.939193826708092,0.940169541452558,0.946304570716622,0.940648267414836,0.943648503715796,0.935016444295672,0.939059101715196,0.94620826830268,0.945829011520273,0.944103791798594,0.929160466427291,0.928592946527403,0.928539217854694,NaN,NaN,NaN
